DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1970-0063-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Khulna, Chittagong",,,Yes,No,No,,,Kph,,,,1970,11,12,1970,11,12,300000,,3648000,,3648000,,,,,86400,678074,12.74196873,,2003-07-01,2023-09-25
1991-0120-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gorky (02B),BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar, Chittagong, Patuakhali, Noakhali, Bhola, Barguna",,Flood,Yes,No,No,,21360,Kph,,,,1991,4,29,1991,5,10,138866,138849,15000000,300000,15438849,,,80000,178984,1780000,3982395,44.69672184,,2007-08-08,2023-09-25
2008-0184-MMR,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2008-000057,Cyclone 'Nargis',MMR,Myanmar,South-eastern Asia,Asia,"Labutta, Mawlamyinegyunn areas (Myaungmya district, Ayeyawaddy province), Ngapudaw area (Pathein district, Ayeyawaddy province), Bogale, Dedaye, Kyaiklat areas (Pyapon district, Ayeyawaddy province), Kungyangon, Kawhmu, Twantay, Kyauktan areas (Yangon(S) district, Yangon province), Bago (E), Bago (W), Kayin, Kayar, Mon provinces",,Flood,Yes,No,Yes,607329,215,Kph,,,,2008,5,2,2008,5,3,138366,20000,2400000,,2420000,,,,,4000000,5660904,70.66008903,"[{""adm1_code"":2128,""adm1_name"":""Kayin""},{""adm1_code"":2129,""adm1_name"":""Kayar""},{""adm1_code"":2132,""adm1_name"":""Mon""},{""adm1_code"":41772,""adm1_name"":""Bago (E)""},{""adm1_code"":41773,""adm1_name"":""Bago (W)""},{""adm2_code"":41779,""adm2_name"":""Myaungmya""},{""adm2_code"":41780,""adm2_name"":""Pathein""},{""adm2_code"":41781,""adm2_name"":""Pyapon""},{""adm2_code"":41839,""adm2_name"":""Yangon(S)""}]",2010-02-09,2023-09-25
1922-0004-CHN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,CHN,China,Eastern Asia,Asia,Swatow,,,No,No,No,,,Kph,,,,1922,7,27,1922,7,27,100000,,,,,,,,,,,5.512738462,,2003-07-01,2023-09-25
1942-0008-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,West Sundarbans,,,No,No,No,,,Kph,,,,1942,10,,1942,10,,61000,,,,,,,,,,,5.348668865,,2003-07-01,2023-09-25
1935-0015-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1935,,,1935,,,60000,,,,,,,,,,,4.49550696,,2003-07-01,2023-09-25
1912-0005-CHN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,CHN,China,Eastern Asia,Asia,Wenchou,,,No,No,No,,,Kph,,,,1912,8,,1912,8,,50000,,,,,,,,,,,3.167323086,,2003-07-01,2023-09-25
1942-0009-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Orissa, West Bengal",,,No,No,No,,,Kph,,,,1942,10,14,1942,10,14,40000,,,,,,,,,,,5.348668865,,2003-07-01,2023-09-25
1965-0028-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,Barisal district,,,Yes,No,No,,,Kph,,,,1965,5,11,1965,5,11,36000,600000,10000000,5000000,15600000,,,,,57700,557989,10.34071295,,2003-07-01,2023-09-25
1963-0013-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Noakhali",,,No,No,No,,,Kph,,,,1963,5,28,1963,5,28,22000,,1000000,,1000000,,,,,50000,497472,10.05081019,,2008-03-14,2023-09-25
